occ10,title,egp_label,egp10_10
10,Chief executives,I,1
20,General and operations managers,II,2
30,Legislators,I,1
40,Advertising and promotions managers,II,2
50,Marketing and sales managers,II,2
60,Public relations and fundraising managers,II,2
100,Administrative services managers,IIIa,3
110,Computer and information systems managers,I,1
120,Financial managers,II,2
135,Compensation and benefits managers,II,2
136,Human resources managers,II,2
137,Training and development managers,II,2
140,Industrial production managers,II,2
150,Purchasing managers,II,2
160,"Transportation, storage, and distribution managers",V,8
205,"Farmers, ranchers, and other agricultural managers",IVc,7
220,Construction managers,V,8
230,Education administrators,I,1
300,Architectural and engineering managers,I,1
310,Food service managers,IIIb,4
325,Funeral service managers,II,2
330,Gaming managers,V,8
340,Lodging managers,IIIa,3
350,Medical and health services managers,I,1
360,Natural sciences managers,I,1
400,Postmasters and mail superintendents,II,2
410,"Property, real estate, and community association managers",V,8
420,Social and community service managers,II,2
425,Emergency management directors,II,2
430,"Managers, all other",II,2
500,"Agents and business managers of artists, performers, and athletes",II,2
510,"Buyers and purchasing agents, farm products",V,8
520,"Wholesale and retail buyers, except farm products",IIIb,4
530,"Purchasing agents, except wholesale, retail, and farm products",II,2
540,"Claims adjusters, appraisers, examiners, and investigators",IIIa,3
565,Compliance officers,II,2
600,Cost estimators,V,8
630,Human resources workers,IIIa,3
640,"Compensation, benefits, and job analysis specialists",II,2
650,Training and development specialists,II,2
700,Logisticians,II,2
710,Management analysts,I,1
725,"Meeting, convention, and event planners",IIIa,3
726,Fundraisers,II,2
735,Market research analysts and marketing specialists,II,2
740,"Business operations specialists, all other",II,2
800,Accountants and auditors,I,1
810,Appraisers and assessors of real estate,IIIa,3
820,Budget analysts,I,1
830,Credit analysts,IIIa,3
840,Financial analysts,I,1
850,Personal financial advisors,II,2
860,Insurance underwriters,II,2
900,Financial examiners,II,2
910,Credit counselors and loan officers,IIIa,3
930,"Tax examiners and collectors, and revenue agents",IIIa,3
940,Tax preparers,IIIa,3
950,"Financial specialists, all other",II,2
1005,Computer and information research scientists,I,1
1006,Computer systems analysts,II,2
1007,Information security analysts,II,2
1010,Computer programmers,II,2
1020,"Software developers, applications and systems software",I,1
1030,Web developers,IIIa,3
1050,Computer support specialists,IIIa,3
1060,Database administrators,II,2
1105,Network and computer systems administrators,II,2
1106,Computer network architects,II,2
1107,"Computer occupations, all other",II,2
1200,Actuaries,I,1
1210,Mathematicians,I,1
1220,Operations research analysts,I,1
1230,Statisticians,I,1
1240,Miscellaneous mathematical science occupations,I,1
1300,"Architects, except naval",I,1
1310,"Surveyors, cartographers, and photogrammetrists",II,2
1320,Aerospace engineers,I,1
1330,Agricultural engineers,I,1
1340,Biomedical engineers,I,1
1350,Chemical engineers,I,1
1360,Civil engineers,I,1
1400,Computer hardware engineers,I,1
1410,Electrical and electronics engineers,I,1
1420,Environmental engineers,I,1
1430,"Industrial engineers, including health and safety",I,1
1440,Marine engineers and naval architects,I,1
1450,Materials engineers,I,1
1460,Mechanical engineers,I,1
1500,"Mining and geological engineers, including mining safety engineers",I,1
1510,Nuclear engineers,I,1
1520,Petroleum engineers,I,1
1530,"Engineers, all other",I,1
1540,Drafters,V,8
1550,"Engineering technicians, except drafters",V,8
1560,Surveying and mapping technicians,V,8
1600,Agricultural and food scientists,I,1
1610,Biological scientists,I,1
1640,Conservation scientists and foresters,I,1
1650,Medical scientists,I,1
1660,"Life scientists, all other",I,1
1700,Astronomers and physicists,I,1
1710,Atmospheric and space scientists,I,1
1720,Chemists and materials scientists,I,1
1740,Environmental scientists and geoscientists,I,1
1760,"Physical scientists, all other",I,1
1800,Economists,I,1
1815,Survey researchers,II,2
1820,Psychologists,I,1
1830,Sociologists,II,2
1840,Urban and regional planners,I,1
1860,Miscellaneous social scientists and related workers,II,2
1900,Agricultural and food science technicians,V,8
1910,Biological technicians,V,8
1920,Chemical technicians,V,8
1930,Geological and petroleum technicians,V,8
1940,Nuclear technicians,V,8
1950,Social science research assistants,V,8
1965,"Miscellaneous life, physical, and social science technicians",V,8
2000,Counselors,II,2
2010,Social workers,II,2
2015,Probation officers and correctional treatment specialists,V,8
2016,Social and human service assistants,IIIa,3
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",II,2
2040,Clergy,II,2
2050,"Directors, religious activities and education",II,2
2060,"Religious workers, all other",IIIb,4
2100,Lawyers,I,1
2105,Judicial law clerks,I,1
2110,"Judges, magistrates, and other judicial workers",I,1
2145,Paralegals and legal assistants,IIIa,3
2160,Miscellaneous legal support workers,IIIa,3
2200,Postsecondary teachers,I,1
2300,Preschool and kindergarten teachers,IIIb,4
2310,Elementary and middle school teachers,II,2
2320,Secondary school teachers,II,2
2330,Special education teachers,II,2
2340,Other teachers and instructors,IIIa,3
2400,"Archivists, curators, and museum technicians",II,2
2430,Librarians,II,2
2440,Library technicians,IIIa,3
2540,Teacher assistants,IIIa,3
2550,"Other education, training, and library workers",II,2
2600,Artists and related workers,V,8
2630,Designers,V,8
2700,Actors,V,8
2710,Producers and directors,II,2
2720,"Athletes, coaches, umpires, and related workers",V,8
2740,Dancers and choreographers,V,8
2750,"Musicians, singers, and related workers",V,8
2760,"Entertainers and performers, sports and related workers, all other",V,8
2800,Announcers,V,8
2810,"News analysts, reporters and correspondents",II,2
2825,Public relations specialists,II,2
2830,Editors,II,2
2840,Technical writers,II,2
2850,Writers and authors,II,2
2860,Miscellaneous media and communication workers,V,8
2900,Broadcast and sound engineering technicians and radio operators,V,8
2910,Photographers,V,8
2920,"Television, video, and motion picture camera operators and editors",V,8
2960,"Media and communication equipment workers, all other",V,8
3000,Chiropractors,I,1
3010,Dentists,I,1
3030,Dietitians and nutritionists,II,2
3040,Optometrists,I,1
3050,Pharmacists,I,1
3060,Physicians and surgeons,I,1
3110,Physician assistants,II,2
3120,Podiatrists,I,1
3140,Audiologists,II,2
3150,Occupational therapists,II,2
3160,Physical therapists,II,2
3200,Radiation therapists,IIIa,3
3210,Recreational therapists,II,2
3220,Respiratory therapists,IIIa,3
3230,Speech-language pathologists,II,2
3235,Exercise physiologists,II,2
3245,"Therapists, all other",II,2
3250,Veterinarians,I,1
3255,Registered nurses,II,2
3256,Nurse anesthetists,II,2
3257,Nurse midwives,II,2
3258,Nurse practitioners,II,2
3260,"Health diagnosing and treating practitioners, all other",II,2
3300,Clinical laboratory technologists and technicians,V,8
3310,Dental hygienists,V,8
3320,Diagnostic related technologists and technicians,V,8
3400,Emergency medical technicians and paramedics,V,8
3420,Health practitioner support technologists and technicians,V,8
3500,Licensed practical and licensed vocational nurses,IIIa,3
3510,Medical records and health information technicians,IIIa,3
3520,"Opticians, dispensing",V,8
3535,Miscellaneous health technologists and technicians,V,8
3540,Other healthcare practitioners and technical occupations,II,2
3600,"Nursing, psychiatric, and home health aides",IIIb,4
3610,Occupational therapy assistants and aides,IIIb,4
3620,Physical therapist assistants and aides,IIIb,4
3630,Massage therapists,IIIb,4
3640,Dental assistants,IIIb,4
3645,Medical assistants,IIIb,4
3646,Medical transcriptionists,IIIb,4
3647,Pharmacy aides,IIIb,4
3648,Veterinary assistants and laboratory animal caretakers,IIIb,4
3649,Phlebotomists,IIIb,4
3655,"Miscellaneous healthcare support occupations, including medical equipment preparers",IIIb,4
3700,First-line supervisors of correctional officers,V,8
3710,First-line supervisors of police and detectives,V,8
3720,First-line supervisors of fire fighting and prevention workers,V,8
3730,"First-line supervisors of protective service workers, all other",V,8
3740,Firefighters,V,8
3750,Fire inspectors,V,8
3800,"Bailiffs, correctional officers, and jailers",V,8
3820,Detectives and criminal investigators,V,8
3830,Fish and game wardens,V,8
3840,Parking enforcement workers,V,8
3850,Police and sheriff's patrol officers,V,8
3860,Transit and railroad police,V,8
3900,Animal control workers,IIIb,4
3910,Private detectives and investigators,V,8
3930,Security guards and gaming surveillance officers,IIIb,4
3940,Crossing guards,VIIa,10
3945,Transportation security screeners,IIIb,4
3955,"Lifeguards and other recreational, and all other protective service workers",IIIb,4
4000,Chefs and head cooks,V,8
4010,First-line supervisors of food preparation and serving workers,IIIb,4
4020,Cooks,VIIa,10
4030,Food preparation workers,VIIa,10
4040,Bartenders,IIIb,4
4050,"Combined food preparation and serving workers, including fast food",IIIb,4
4060,"Counter attendants, cafeteria, food concession, and coffee shop",IIIb,4
4110,Waiters and waitresses,IIIb,4
4120,"Food servers, nonrestaurant",IIIb,4
4130,Dining room and cafeteria attendants and bartender helpers,IIIb,4
4140,Dishwashers,VIIa,10
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",IIIb,4
4160,"Food preparation and serving related workers, all other",IIIb,4
4200,First-line supervisors of housekeeping and janitorial workers,IIIb,4
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",V,8
4220,Janitors and building cleaners,VIIa,10
4230,Maids and housekeeping cleaners,VIIa,10
4240,Pest control workers,IIIb,4
4250,Grounds maintenance workers,VIIa,10
4300,First-line supervisors of gaming workers,IIIb,4
4320,First-line supervisors of personal service workers,IIIb,4
4340,Animal trainers,VIIb,11
4350,Nonfarm animal caretakers,IIIb,4
4400,Gaming services workers,IIIb,4
4410,Motion picture projectionists,IIIb,4
4420,"Ushers, lobby attendants, and ticket takers",IIIb,4
4430,Miscellaneous entertainment attendants and related workers,IIIb,4
4460,Embalmers and funeral attendants,IIIb,4
4465,"Morticians, undertakers, and funeral directors",IIIb,4
4500,Barbers,IIIb,4
4510,"Hairdressers, hairstylists, and cosmetologists",IIIb,4
4520,Miscellaneous personal appearance workers,IIIb,4
4530,"Baggage porters, bellhops, and concierges",IIIb,4
4540,Tour and travel guides,IIIa,3
4600,Childcare workers,IIIb,4
4610,Personal care aides,IIIb,4
4620,Recreation and fitness workers,IIIb,4
4640,Residential advisors,IIIb,4
4650,"Personal care and service workers, all other",IIIb,4
4700,First-line supervisors of retail sales workers,IIIb,4
4710,First-line supervisors of non-retail sales workers,V,8
4720,Cashiers,IIIb,4
4740,Counter and rental clerks,IIIb,4
4750,Parts salespersons,IIIb,4
4760,Retail salespersons,IIIb,4
4800,Advertising sales agents,IIIa,3
4810,Insurance sales agents,IIIa,3
4820,"Securities, commodities, and financial services sales agents",II,2
4830,Travel agents,IIIa,3
4840,"Sales representatives, services, all other",IIIa,3
4850,"Sales representatives, wholesale and manufacturing",IIIa,3
4900,"Models, demonstrators, and product promoters",IIIb,4
4920,Real estate brokers and sales agents,IIIa,3
4930,Sales engineers,II,2
4940,Telemarketers,IIIb,4
4950,"Door-to-door sales workers, news and street vendors, and related workers",IIIb,4
4965,"Sales and related workers, all other",IIIa,3
5000,First-line supervisors of office and administrative support workers,IIIa,3
5010,"Switchboard operators, including answering service",IIIa,3
5020,Telephone operators,IIIa,3
5030,"Communications equipment operators, all other",IIIa,3
5100,Bill and account collectors,IIIa,3
5110,Billing and posting clerks,IIIa,3
5120,"Bookkeeping, accounting, and auditing clerks",IIIa,3
5130,Gaming cage workers,IIIb,4
5140,Payroll and timekeeping clerks,IIIa,3
5150,Procurement clerks,IIIa,3
5160,Tellers,IIIa,3
5165,"Financial clerks, all other",IIIa,3
5200,Brokerage clerks,IIIa,3
5210,Correspondence clerks,IIIa,3
5220,"Court, municipal, and license clerks",IIIa,3
